Constituency No.,Constituency Name,District,Alliance,Party,Candidate Name
119,Attingal,Thiruvananthapuram,others,SDPI,Jayarajan M
119,Attingal,Thiruvananthapuram,others,BSP,S. Sujithra
119,Attingal,Thiruvananthapuram,others,Anna DHRM,Sunitha Kilimanoor
120,Vamanapuram,Thiruvananthapuram,LDF,CPI(M),D. K. Murali
120,Vamanapuram,Thiruvananthapuram,UDF,INC,Sudheer Sha Palode
120,Vamanapuram,Thiruvananthapuram,NDA,BDJS,Venu Karanavar
120,Vamanapuram,Thiruvananthapuram,others,BSP,Vipinlal V A
120,Vamanapuram,Thiruvananthapuram,others,,Muraleedharan G Nair
120,Vamanapuram,Thiruvananthapuram,others,Anna DHRM,Ratheesh R
121,Aruvikkara,Thiruvananthapuram,LDF,CPI(M),G. Steephen
121,Aruvikkara,Thiruvananthapuram,UDF,INC,V. S. Sivakumar
121,Aruvikkara,Thiruvananthapuram,NDA,BJP,Vivek Gopan
121,Aruvikkara,Thiruvananthapuram,others,,V. S. Sivakumar S/o Sivadasan
121,Aruvikkara,Thiruvananthapuram,others,,Adv. S. Sivakumar S/o Sadasivan
121,Aruvikkara,Thiruvananthapuram,others,,R. Steephen S/o Rafi
121,Aruvikkara,Thiruvananthapuram,others,BSP,Santhosh Kumar. S
122,Nedumangad,Thiruvananthapuram,LDF,CPI,G. R. Anil
122,Nedumangad,Thiruvananthapuram,UDF,INC,Meenankal Kumar
122,Nedumangad,Thiruvananthapuram,NDA,BJP,Yuvaraj Gokul
122,Nedumangad,Thiruvananthapuram,others,SDPI,Siyad Kandala
122,Nedumangad,Thiruvananthapuram,others,BSP,Sujilal B G
122,Nedumangad,Thiruvananthapuram,others,,Vembayam Yesudas
122,Nedumangad,Thiruvananthapuram,others,,Anvar Sadath
122,Nedumangad,Thiruvananthapuram,others,,Kumar
122,Nedumangad,Thiruvananthapuram,others,Anna DHRM,Shibu G
123,Vattiyoorkavu,Thiruvananthapuram,LDF,CPI(M),V. K. Prasanth
123,Vattiyoorkavu,Thiruvananthapuram,UDF,INC,K. Muraleedharan
123,Vattiyoorkavu,Thiruvananthapuram,NDA,BJP,R. Sreelekha
123,Vattiyoorkavu,Thiruvananthapuram,others,,Sreekantan Nair V
123,Vattiyoorkavu,Thiruvananthapuram,others,SUCI,Emil B.S
123,Vattiyoorkavu,Thiruvananthapuram,others,,Muralidharan. P S/o. K. Ponnan
123,Vattiyoorkavu,Thiruvananthapuram,others,BSP,N. Murali
123,Vattiyoorkavu,Thiruvananthapuram,others,,Prasanth. K S/o. Karunakaran.C
124,Thiruvananthapuram,Thiruvananthapuram,LDF,Independent (CPI(M) support),Sudheer Karamana
124,Thiruvananthapuram,Thiruvananthapuram,UDF,CMP,C. P. John
124,Thiruvananthapuram,Thiruvananthapuram,NDA,BJP,Karamana Jayan
124,Thiruvananthapuram,Thiruvananthapuram,others,AAP,Samin Sathyadas
124,Thiruvananthapuram,Thiruvananthapuram,others,,Suresh Kumar
124,Thiruvananthapuram,Thiruvananthapuram,others,BSP,Adv. Sen
124,Thiruvananthapuram,Thiruvananthapuram,others,SUCI,A Saboora
124,Thiruvananthapuram,Thiruvananthapuram,others,,Bindhu Menon L R
124,Thiruvananthapuram,Thiruvananthapuram,others,JRP,Karthika Devi M
124,Thiruvananthapuram,Thiruvananthapuram,others,,Manomohan
124,Thiruvananthapuram,Thiruvananthapuram,others,,P. K. Pradeep Kumar
125,Kazhakuttam,Thiruvananthapuram,LDF,CPI(M),Kadakampally Surendran
125,Kazhakuttam,Thiruvananthapuram,UDF,INC,T. Sarath Chandra Prasad
125,Kazhakuttam,Thiruvananthapuram,NDA,BJP,V. Muraleedharan
125,Kazhakuttam,Thiruvananthapuram,others,,Sreekantan Nair V.
125,Kazhakuttam,Thiruvananthapuram,others,BSP,T. S. Rajan
125,Kazhakuttam,Thiruvananthapuram,others,Anna DHRM,Deebika Karimanal
125,Kazhakuttam,Thiruvananthapuram,others,,K. Surendran
126,Nemom,Thiruvananthapuram,LDF,CPI(M),V. Shivankutty
126,Nemom,Thiruvananthapuram,UDF,INC,KS Sabarinathan
126,Nemom,Thiruvananthapuram,NDA,BJP,Rajeev Chandrasekhar
126,Nemom,Thiruvananthapuram,others,AAP,Vinu K
126,Nemom,Thiruvananthapuram,others,TFIP,Subi S M
126,Nemom,Thiruvananthapuram,others,,Kamaleswaram Hari
126,Nemom,Thiruvananthapuram,others,SUCI,Karamana Prasad
126,Nemom,Thiruvananthapuram,others,,Madanan S
126,Nemom,Thiruvananthapuram,others,,Rajeev Kumar G S
126,Nemom,Thiruvananthapuram,others,,Sasikala
9999,Chathannoor,Unknown,LDF,CPI,R. Rajendran
9999,Chirayinkeezhu,Unknown,LDF,CPI,Manoj B Edamana
9999,Eranad,Unknown,LDF,CPI,Shafeer Kizhisseri
9999,Kalpetta,Unknown,LDF,RJD,Anil Kumar K.P.
9999,Kanjirappally,Unknown,LDF,Kerala Congress (M),N. Jayaraj
9999,Karunagappally,Unknown,LDF,CPI,M. S. Thara
9999,Mananthavady,Unknown,LDF,CPI(M),O. R. Kelu
9999,Nilambur,Unknown,LDF,Independent (CPI(M) support),U. Sharafali
9999,Pala,Unknown,LDF,Kerala Congress (M),Jose K. Mani
9999,Ponnani,Unknown,LDF,CPI(M),M. K. Sakeer
9999,Puthuppally,Unknown,LDF,CPI(M),K. M. Radhakrishnan
9999,Sulthan Bathery,Unknown,LDF,CPI(M),M. S. Viswanathan
9999,Thrikkakara,Unknown,LDF,CPI(M),Pushpa das
9999,Vallikkunnu,Unknown,LDF,Independent (INL support),Adv. C. P. Musthafa
9999,Chathannoor,Unknown,UDF,INC,Sooraj Ravi
9999,Chirayinkeezhu,Unknown,UDF,INC,Ramya Haridas
9999,Eranad,Unknown,UDF,IUML,P. K. Basheer
9999,Kalpetta,Unknown,UDF,INC,T. Siddique
9999,Kanjirappally,Unknown,UDF,INC,Prof. Rony K. Baby
9999,Karunagappally,Unknown,UDF,INC,C. R. Mahesh
9999,Mananthavady,Unknown,UDF,INC,Usha Vijayan
9999,Nilambur,Unknown,UDF,INC,Aryadan Shoukath
9999,Pala,Unknown,UDF,DCK,Mani C. Kappan
9999,Ponnani,Unknown,UDF,INC,K. P. Noushad Ali
9999,Puthuppally,Unknown,UDF,INC,Chandy Oommen
9999,Sulthan Bathery,Unknown,UDF,INC,I. C. Balakrishnan
9999,Thrikkakara,Unknown,UDF,INC,Uma Thomas
9999,Vallikkunnu,Unknown,UDF,IUML,T. V. Ibrahim
9999,Chathannoor,Unknown,NDA,BJP,B. B. Gopakumar
9999,Chirayinkeezhu,Unknown,NDA,BJP,B. S. Anoop
9999,Eranad,Unknown,NDA,BJP,Adv. N. Sreeprakash
9999,Kalpetta,Unknown,NDA,BJP,Prasanth Malavayal
9999,Kanjirappally,Unknown,NDA,BJP,George Kurian
9999,Karunagappally,Unknown,NDA,BJP,V. S. Jithin Dev
9999,Mananthavady,Unknown,NDA,BJP,P. Shyam Raj
9999,Nilambur,Unknown,NDA,BDJS,Gireesh Mekkad
9999,Pala,Unknown,NDA,BJP,Shone George
9999,Ponnani,Unknown,NDA,BDJS,E. Maneesh
9999,Puthuppally,Unknown,NDA,BJP,Raveendranath Vakathanam
9999,Sulthan Bathery,Unknown,NDA,BJP,A. S. Kavitha
9999,Thrikkakara,Unknown,NDA,TTP,Akhil Marar
9999,Vallikkunnu,Unknown,NDA,BJP,M. Preman Master
9999,Chathannoor,Unknown,others,AAP,Arun A
9999,Chathannoor,Unknown,others,Anna DHRM,Sindhu Puthenkulam
9999,Chirayinkeezhu,Unknown,others,Anna DHRM,Anoop Alappuramkunnu
9999,Chirayinkeezhu,Unknown,others,BSP,Ramasamy Sasi
9999,Eranad,Unknown,others,SDPI,Yusuf Chemmala
9999,Eranad,Unknown,others,BSP,Krishnan Thachannan
9999,Eranad,Unknown,others,,Mujeeb Rahman
9999,Kalpetta,Unknown,others,,P. K. Anil Kumar
9999,Kalpetta,Unknown,others,AAP,Rafeek C A
9999,Kalpetta,Unknown,others,,Sidheeque S/o Kunjammad
9999,Kalpetta,Unknown,others,,T K Ummer
9999,Kalpetta,Unknown,others,CPIML Red Star,V. K. Prakash
9999,Kalpetta,Unknown,others,SDPI,N Hamza
9999,Kalpetta,Unknown,others,,Radhakrishnan M
9999,Kanjirappally,Unknown,others,BSP,Thampi Kavumpadam
9999,Karunagapally,Unknown,others,SUCI,Twinkle Prabhakaran
9999,Karunagapally,Unknown,others,SDPI,Latheef
9999,Nilambur,Unknown,others,AAP,Jaisal Maliyekkal
9999,Pala,Unknown,others,AAP,Rony Jose Nedumpallil
9999,Pala,Unknown,others,,C G Babu
9999,Pala,Unknown,others,BSP,Santhosh Nadoopparampil
9999,Pala,Unknown,others,,Santhosh Pulickal
9999,Ponnani,Unknown,others,SDPI,Anvar Pazhanji
9999,Ponnani,Unknown,others,,Noushadali
9999,Ponnani,Unknown,others,,Sageer M.K
9999,Ponnani,Unknown,others,,Sakkeer S/o Illyas
9999,Ponnani,Unknown,others,,Sakkeer S/o Muhammed
9999,Puthuppally,Unknown,others,BSP,Paul P Chacko
9999,Puthuppally,Unknown,others,,Rijomon Mathew
9999,Puthuppally,Unknown,others,JRP,Sabu Mylakkadan
9999,Sulthan Bathery,Unknown,others,AAP,Prakrithi N V
9999,Sulthan Bathery,Unknown,others,SUCI,V.A Ramesan
9999,Sulthan Bathery,Unknown,others,,Balakrishnan Edakkal
9999,Sulthan Bathery,Unknown,others,BSP,Benadict
9999,Sulthan Bathery,Unknown,others,,Rajesh R M
9999,Thrikkakara,Unknown,others,AAP,Jose George
9999,Thrikkakara,Unknown,others,SDPI,Aloysius Kollannur
9999,Vallikkunnu,Unknown,others,AAP,Abdul Azeez Kadalundi
9999,Vallikkunnu,Unknown,others,,Muhamed Musthafa Pamangadan
9999,Vallikkunnu,Unknown,others,,Muhammed Aslam V P
